"OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"NetApp Release 9.9.1","",""
"NetApp Release 9.9.1P10","",""
"NetApp Release 9.9.1P2","",""
"NetApp Release 9.9.1P7","",""
"Nutanix Files","",""
"OneFS","","9.2.1.0"
"OneFS","","v7.0.2.8"
"OneFS","","v7.2.0.4"
"OneFS","","v8.0.0.4"
"OneFS","","v8.1.0.0"
"OneFS","","v8.1.0.2"
"OneFS","","v8.1.2.0"
"OnTap","","8.1.1"
"OnTap","","8.1.2P1"
"OnTap","","8.1.4"
"OnTap","","8.2.2"
"OnTap","","8.2.2RC1"
"OnTap","","8.2.3P3"
"OnTap","","8.2.3P4"
"OnTap","","8.2.3P6"
"OnTap","","Data ONTAP Release 7.3.3"
"OnTap","","Data ONTAP Release 7.3.6"
"OnTap","","Data ONTAP Release 8.0.2P3"
"OnTap","","NetApp Release 7.0.1R1P2"
"OnTap","","NetApp Release 7.0.3"
"OnTap","","NetApp Release 7.0.5P7"
"OnTap","","NetApp Release 7.2.4L1"
"OnTap","","NetApp Release 7.2.5.1"
"OnTap","","NetApp Release 7.3.2P4"
"OnTap","","NetApp Release 7.3.3"
"OnTap","","NetApp Release 7.3.6P2"
"ONTAP 8.1","",""
"ONTAP 9.8P5","",""
"Oracle Linux","CentrifyDC 5.3.1-398:E:CDC","6.1:7.9"
"Oracle Linux","CentrifyDC 5.3.1-398:W:CDC","6"
"Oracle Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:5.11"
"Oracle Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:6.10"
"Oracle Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:6.9"
"Oracle Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:7.3"
"Oracle Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:7.4"
"Oracle Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:7.5"
"Oracle Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:7.6"
"Oracle Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:7.9"
"Oracle Linux Server","CentrifyDC 5.0.2-388:W:CDC","5.11"
"Oracle Linux Server","CentrifyDC 5.1.3-482:W:CDC","6"
"Oracle Linux Server","CentrifyDC 5.1.3-482:W:CDC","6.1:6.6"
"Oracle Linux Server","CentrifyDC 5.1.3-482:W:CDC","6.1:6.9"
"OracleServer","CentrifyDC 5.1.3-482:W:CDC","6.1:6.10 (n/a)"
"OracleServer","CentrifyDC 5.1.3-482:W:CDC","6.1:6.5 (n/a)"
"OracleServer","CentrifyDC 5.1.3-482:W:CDC","6.1:6.9 (n/a)"
"pc-linux-gnu","",""
"pc-linux-gnu","","10.0 (19042)"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:E:CDC","6.1:6.10"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:E:CDC","6.1:6.7"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:5.10"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:5.11"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:6.10"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:6.5"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:6.6"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:6.7"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:6.8"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:6.9"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:7.4"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:7.7"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:7.8"
"Red Hat Enterprise Linux","CentrifyDC 5.3.1-398:W:CDC","6.1:7.9"
"Red Hat Enterprise Linux Server","CentrifyDC 4.6.0-113:N:CDC","5.8 (Tikanga)"
"Red Hat Enterprise Linux Server","CentrifyDC 4.6.0-114:N:CDC","5.4 (Tikanga)"
"Red Hat Enterprise Linux Server","CentrifyDC 5.1.0-497:W:CDC","6.10 (Santiago)"
"Red Hat Enterprise Linux Server","CentrifyDC 5.1.2-378:W:CDC","6.10 (Santiago)"
"Red Hat Enterprise Linux Server","CentrifyDC 5.1.2-378:W:CDC","6.4 (Santiago)"
"Red Hat Enterprise Linux Server","CentrifyDC 5.1.3-482:E:CDC","6.1:6.10 (Santiago)"
"Red Hat Enterprise Linux Server","CentrifyDC 5.1.3-482:W:CDC","6.1:5.6 (Tikanga)"
"Red Hat Enterprise Linux Server","CentrifyDC 5.1.3-482:W:CDC","6.1:6.10 (Santiago)"
"Red Hat Enterprise Linux Server","CentrifyDC 5.1.3-482:W:CDC","6.1:6.5 (Santiago)"
"Red Hat Enterprise Linux Server","CentrifyDC 5.1.3-482:W:CDC","6.1:6.6 (Santiago)"
"Red Hat Enterprise Linux Server","CentrifyDC 5.1.3-482:W:CDC","6.1:6.7 (Santiago)"
"Red Hat Enterprise Linux Server","CentrifyDC 5.1.3-482:W:CDC","6.1:6.8 (Santiago)"
"Red Hat Enterprise Linux Server","CentrifyDC 5.1.3-482:W:CDC","6.1:6.9 (Santiago)"
"Redhat","Samba 4.10.16","7"
"Redhat","Samba 4.16.4","8"
"redhat-linux-gnu","",""
"RedHatEnterpriseServer","CentrifyDC 5.1.0-497:W:CDC","6.10 (Santiago)"
"RedHatEnterpriseServer","CentrifyDC 5.1.2-378:W:CDC","6.3 (Santiago)"
"RedHatEnterpriseServer","CentrifyDC 5.1.3-482:W:CDC","6"
"RedHatEnterpriseServer","CentrifyDC 5.1.3-482:W:CDC","6.1:5.11 (Tikanga)"
"RedHatEnterpriseServer","CentrifyDC 5.1.3-482:W:CDC","6.1:5.5 (Tikanga)"
"RedHatEnterpriseServer","CentrifyDC 5.1.3-482:W:CDC","6.1:5.6 (Tikanga)"
"RedHatEnterpriseServer","CentrifyDC 5.1.3-482:W:CDC","6.1:5.7 (Tikanga)"
"RedHatEnterpriseServer","CentrifyDC 5.1.3-482:W:CDC","6.1:5.8 (Tikanga)"
"RedHatEnterpriseServer","CentrifyDC 5.1.3-482:W:CDC","6.1:5.9 (Tikanga)"
